EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
2112314,54.5139350891,0.759005129337,3.1203250885,2.76876473427,167635.390625,0.591888785362,156078.328125,137.814147949,23.5540714264,60965.0039062,51.192276001
5207974,175.0,3.67144799232,3.0319211483,0.930033445358,204201.734375,0.648653686047,158082.28125,178.451522827,24.6661300659,54819.3046875,61.8792915344
5579104,43.3449325562,0.847249805927,3.10846710205,2.76852107048,162489.375,0.696381926537,171539.28125,72.5634155273,24.2396221161,31953.6796875,104.623474121
8481207,175.0,2.49242091179,3.1200170517,1.06578862667,201559.875,0.44939956069,165587.3125,153.513214111,56.4325218201,173723.0,182.696960449
462466,135.028671265,0.918021678925,3.13568472862,2.55166435242,365945.0,0.559913694859,291188.375,221.880218506,90.0934753418,102109.320312,47.8228683472
27014839,78.4170074463,1.09327089787,2.85292816162,2.39983129501,161280.484375,0.932043433189,176103.78125,143.872833252,28.2773628235,105394.117188,98.7792282104
16479654,125.247505188,1.42731595039,2.82866954803,2.10935711861,243428.75,1.18219852448,178060.15625,115.552467346,74.6026611328,58091.546875,126.917289734
2531293,175.0,3.32289958,3.12708950043,1.19967460632,139085.140625,1.12975394726,277300.96875,341.416595459,102.227455139,94412.2109375,227.346984863
2721257,100.447097778,1.07408893108,3.12701487541,2.2143676281,201474.4375,0.869758844376,199700.453125,157.826766968,49.1916885376,94922.7421875,161.770401001
37044347,175.0,2.92268633842,3.13251829147,0.878779947758,166561.734375,0.536048233509,159807.015625,300.605957031,160.696716309,14994.0097656,101.521705627
386563,67.7218551636,0.777179002762,3.11987376213,2.63589382172,222660.765625,0.381424754858,164635.296875,107.382568359,62.0888786316,12294.6660156,71.3953323364
162912,111.813117981,0.984758734703,3.08180713654,2.05598139763,251742.703125,1.05506515503,170860.0,169.167053223,66.7062759399,86217.265625,94.8313369751
3144522,175.0,2.77173852921,3.13857769966,0.89655995369,569592.875,2.26656341553,450000.0,350.0,26.4964790344,90404.0078125,320.0
578237,131.915405273,1.40125834942,3.09042954445,2.23638224602,266714.09375,0.940775871277,171065.359375,99.1977386475,86.3906707764,36463.7460938,86.0527420044
20150704,175.0,2.63944649696,2.51765584946,0.848371148109,158901.453125,1.23144567013,268269.0,142.442947388,77.9705276489,83346.5078125,123.836341858
46513439,175.0,3.66509246826,3.02214932442,2.13283133507,147425.359375,2.39539694786,163185.15625,120.188461304,25.0932254791,3.52845358849,41.6654624939
6865529,41.365398407,0.583171248436,3.13026785851,2.41915535927,304283.8125,2.59479689598,154826.875,138.917938232,22.8947544098,90042.671875,48.6458625793
367786,116.174545288,1.5423374176,2.96583890915,2.3574283123,166848.21875,0.0197716541588,159128.046875,134.305679321,41.6301956177,77792.4609375,121.332382202
4402441,175.0,2.87959289551,3.06819963455,1.40973484516,289540.375,0.699423789978,194013.84375,204.711700439,33.0369415283,89655.921875,13.3599042892
4505620,104.412330627,1.15508556366,3.12892484665,2.8962097168,197877.375,0.0876972004771,243710.0,218.438171387,26.5965442657,12614.0087891,81.0738983154
4734512,175.0,2.4280860424,3.13889765739,2.47570729256,180040.96875,0.907389163971,226684.453125,225.396942139,27.7064247131,21356.6132812,105.759086609
12161524,102.3150177,0.909636676311,3.12769436836,2.53725004196,289813.75,1.17726945877,233459.53125,176.902984619,68.0584182739,12538.6347656,83.8528671265
515608,145.557220459,1.84760248661,3.14133000374,2.8797955513,170108.625,1.36492478848,168753.125,145.334121704,29.1415596008,38211.2382812,70.3159103394
604063,175.0,3.31623244286,3.13085627556,0.567080497742,149383.171875,1.57661104202,181936.984375,273.14239502,102.940330505,89404.3515625,38.8873062134
946245,120.028457642,1.52564275265,3.00306534767,2.27974653244,169470.265625,0.530372977257,192798.546875,189.807876587,29.7580814362,5752.70507812,126.557914734
869882,117.560493469,1.41195130348,3.08425736427,1.75114917755,175101.875,0.447602212429,232225.890625,201.961761475,33.5228729248,45671.0976562,43.9503593445
50134,95.2721405029,1.10916185379,3.12448954582,3.012819767,190515.484375,0.0673497617245,173786.828125,142.285049438,26.5348701477,6818.96875,36.8809547424
626136,175.0,2.78002095222,3.11059904099,0.932989001274,168838.0,0.401072472334,152502.40625,270.941162109,147.673782349,16711.9804688,49.6631469727
296570,88.2423095703,0.729768157005,3.1244096756,2.36200618744,396114.65625,2.78892087936,277818.0625,236.834732056,45.3030929565,68167.90625,175.479995728
6289860,60.9251899719,0.821323692799,3.12784814835,2.79302549362,165124.453125,1.33195221424,174790.3125,148.916107178,21.9939861298,36154.8320312,134.073654175
15463044,175.0,2.51041769981,2.52321743965,0.32955300808,131384.59375,0.945769965649,172780.703125,123.955528259,80.9349136353,185262.078125,69.1331863403
6411771,149.757293701,1.36548161507,3.08747386932,2.22419285774,265983.84375,1.13356661797,195768.484375,131.887878418,77.5120391846,73888.0234375,146.419769287
